Seed;GridSize;Steps;Success
621158;6x6;3147;Success
960935;6x6;108572;Success
420500;6x6;374;Success
358653;6x6;43247;Success
818226;6x6;13119;Success
680579;6x6;2893;Success
142400;6x6;272;Success
441593;6x6;370;Success
160766;6x6;123378;Success
245087;6x6;985;Success
750892;6x6;3274;Success
878197;6x6;8922;Success
858058;6x6;16647;Success
612155;6x6;478;Success
565848;6x6;8741;Success
519793;6x6;3028;Success
924886;6x6;254;Success
932695;6x6;255;Success
601476;6x6;987;Success
41069;6x6;544;Success
185506;6x6;74342;Success
789363;6x6;496;Success
631280;6x6;276;Success
333929;6x6;93798;Success
165038;6x6;246;Success
280719;6x6;816;Success
365852;6x6;10544;Success
569381;6x6;215;Success
59258;6x6;380;Success
318955;6x6;533;Success
557768;6x6;887;Success
446689;6x6;3335;Success
175174;6x6;277;Success
965255;6x6;351;Success
580340;6x6;265;Success
723677;6x6;881;Success
302802;6x6;5988;Success
83683;6x6;545;Success
912032;6x6;7507;Success
468505;6x6;6710;Success
582366;6x6;3948;Success
132479;6x6;2246;Success
333452;6x6;328;Success
886933;6x6;14282;Success
942506;6x6;637;Success
116955;6x6;1113;Success
730168;6x6;333;Success
308369;6x6;1112;Success
219318;6x6;917;Success
869303;6x6;11048;Success
24036;6x6;22641;Success
904717;6x6;104443;Success
484162;6x6;578;Success
825171;6x6;367;Success
401040;6x6;11248;Success
687305;6x6;5417;Success
192782;6x6;105469;Success
352111;6x6;23672;Success
626364;6x6;682;Success
84357;6x6;946;Success
361306;6x6;1336;Success
67339;6x6;3853;Success
423656;6x6;475;Success
994817;6x6;713;Success
639910;6x6;817;Success
403047;6x6;614;Success
142932;6x6;2579;Success
516029;6x6;513;Success
401586;6x6;13932;Success
589635;6x6;1362;Success
23104;6x6;1284;Success
363769;6x6;1383;Success
301054;6x6;503;Success
234975;6x6;931;Success
628460;6x6;1147;Success
148981;6x6;3061;Success
571402;6x6;784;Success
859131;6x6;1352;Success
979992;6x6;566;Success
563249;6x6;358;Success
551766;6x6;1067;Success
279;6x6;715;Success
604036;6x6;551;Success
71149;6x6;83650;Success
7970;6x6;12943;Success
976435;6x6;327;Success
461680;6x6;369;Success
672425;6x6;97650;Success
319790;6x6;221339;Success
302351;6x6;71954;Success
43189;6x6;5455;Success
328586;6x6;315;Success
308411;6x6;307;Success
219352;6x6;469;Success
681969;6x6;312;Success
8278;6x6;276;Success
255511;6x6;227;Success
246084;6x6;6894;Success
822381;6x6;5133;Success
935074;6x6;602;Success
867827;6x6;497;Success
127600;6x6;19853;Success
958633;6x6;6680;Success
482094;6x6;1080;Success
416335;6x6;507;Success
